ep_date,dt,role,name
Thursday July 26,2018-07-25T14:00:00Z,host,Julia Baird
Wednesday July 25,2018-07-24T14:00:00Z,host,Julia Baird
Tuesday July 24,2018-07-23T14:00:00Z,host,Peter van Onselen
Monday July 23,2018-07-22T14:00:00Z,host,Peter van Onselen
Friday July 20,2018-07-19T14:00:00Z,host,Julia Baird
Thursday July 19,2018-07-18T14:00:00Z,host,Peter van Onselen
Wednesday July 18,2018-07-17T14:00:00Z,host,Julia Baird
Tuesday July 17,2018-07-16T14:00:00Z,host,Peter van Onselen
Monday July 16,2018-07-15T14:00:00Z,host,Peter van Onselen
Friday July 13,2018-07-12T14:00:00Z,host,Peter van Onselen
Thursday July 12,2018-07-11T14:00:00Z,host,Peter van Onselen
Wednesday July,NA,host,Peter van Onselen
"Tuesday, July 10",2018-07-09T14:00:00Z,host,Peter van Onselen
"Monday, July 9",2018-07-08T14:00:00Z,host,Peter van Onselen
Friday July 6,2018-07-05T14:00:00Z,host,Julia Baird
"Thursday, July 5",2018-07-04T14:00:00Z,host,Julia Baird
Wednesday July 4,2018-07-03T14:00:00Z,host,Julia Baird
Tuesday July 3,2018-07-02T14:00:00Z,host,Julia Baird
Monday July 2,2018-07-01T14:00:00Z,host,Julia Baird
Friday June 29,2018-06-28T14:00:00Z,host,Julia Baird
Thursday June 28,2018-06-27T14:00:00Z,host,Julia Baird
Wednesday June 27,2018-06-26T14:00:00Z,host,Julia Baird
Monday June 25,2018-06-24T14:00:00Z,host,Ellen Fanning
Tuesday June 26,2018-06-25T14:00:00Z,host,John Barron
Friday June 22,2018-06-21T14:00:00Z,host,Ellen Fanning
Thursday June 21,2018-06-20T14:00:00Z,host,Ellen Fanning
Friday June 15,2018-06-14T14:00:00Z,host,Julia Baird
Thursday June 14,2018-06-13T14:00:00Z,host,Julia Baird
Wednesday June 20,2018-06-19T14:00:00Z,host,Ellen Fanning
Tuesday June 19,2018-06-18T14:00:00Z,host,Ellen Fanning
Monday June 18,2018-06-17T14:00:00Z,host,Ellen Fanning
Wednesday June 13,2018-06-12T14:00:00Z,host,Julia Baird
Tuesday June 12,2018-06-11T14:00:00Z,host,Ellen Fanning
Monday June 11,2018-06-10T14:00:00Z,host,Ellen Fanning
Friday June 8,2018-06-07T14:00:00Z,host,Julia Baird
Thursday June 7,2018-06-06T14:00:00Z,host,Julia Baird
Wednesday June 6,2018-06-05T14:00:00Z,host,Ellen Fanning
Tuesday June 5,2018-06-04T14:00:00Z,host,Ellen Fanning
Monday June 4,2018-06-03T14:00:00Z,host,Ellen Fanning
Friday June 1,2018-05-31T14:00:00Z,host,Julia Baird
Thursday May 31,2018-05-30T14:00:00Z,host,Julia Baird
Wednesday May 30,2018-05-29T14:00:00Z,host,Ellen Fanning
Tuesday May 29,2018-05-28T14:00:00Z,host,Ellen Fanning
Monday May 28,2018-05-27T14:00:00Z,host,Ellen Fanning
Friday May 25,2018-05-24T14:00:00Z,host,Julia Baird
Thursday May 24,2018-05-23T14:00:00Z,host,Julia Baird
Wednesday May 23,2018-05-22T14:00:00Z,host,Julia Baird
Tuesday May 22,2018-05-21T14:00:00Z,host,Ellen Fanning
Monday May 21,2018-05-20T14:00:00Z,host,Ellen Fanning
Friday May 18,2018-05-17T14:00:00Z,host,Julia Baird
Thursday May 17,2018-05-16T14:00:00Z,host,Julia Baird
Wednesday May 16,2018-05-15T14:00:00Z,host,Julia Baird
Tuesday May 15,2018-05-14T14:00:00Z,host,Ellen Fanning
Monday May 14,2018-05-13T14:00:00Z,host,Ellen Fanning
Friday May 11,2018-05-10T14:00:00Z,host,Julia Baird
Thursday May 10,2018-05-09T14:00:00Z,host,Julia Baird
Wednesday May 9,2018-05-08T14:00:00Z,host,Julia Baird
Tuesday May 8,2018-05-07T14:00:00Z,host,John Barron
Monday May 7,2018-05-06T14:00:00Z,host,John Barron
Friday May 4,2018-05-03T14:00:00Z,host,NA
Thursday May 3,2018-05-02T14:00:00Z,host,Julia Baird
Wednesday May 2,2018-05-01T14:00:00Z,host,Julia Baird
Tuesday May 1,2018-04-30T14:00:00Z,host,Ellen Fanning
Monday April 30,2018-04-29T14:00:00Z,host,Ellen Fanning
Friday April 27,2018-04-26T14:00:00Z,host,Ellen Fanning
Thursday April 26,2018-04-25T14:00:00Z,host,Ellen Fanning
Wednesday April 25,2018-04-24T14:00:00Z,host,Ellen Fanning
Tuesday April 24,2018-04-23T14:00:00Z,host,Ellen Fanning
Monday April 23,2018-04-22T14:00:00Z,host,Ellen Fanning
Friday April 20,2018-04-19T14:00:00Z,host,Julia Baird
Thursday April 19,2018-04-18T14:00:00Z,host,Julia Baird
Wednesday April 18,2018-04-17T14:00:00Z,host,Julia Baird
Tuesday April 17,2018-04-16T14:00:00Z,host,NA
Monday April 16,2018-04-15T14:00:00Z,host,Julia Baird
Friday April 13,2018-04-12T14:00:00Z,host,Julia Baird
Thursday 12 April,NA,host,NA
Wednesday April 11,2018-04-10T14:00:00Z,host,Ellen Fanning
Tuesday April 10,2018-04-09T14:00:00Z,host,Peter van Onselen
Monday April 9,2018-04-08T14:00:00Z,host,Peter Van Onselen
